,Shape_Elongation,Shape_MajorAxisLength,Shape_MaximumDiameter,Shape_MeshSurface,Shape_MinorAxisLength,Shape_Perimeter,Shape_PerimeterSurfaceRatio,Shape_PixelSurface,Shape_Sphericity
0d8fc33c55f2f6af87ee3bd16614e208_R_CC.nii.gz,0.4723050845862713,30.124686543944783,31.144823004794873,330.5,14.22804262627275,79.35533905932739,0.2401069260494021,331.0,0.8121093531587739
0f19f51df3ae39481f0a88d5b17b8499_R_CC.nii.gz,0.3678259410278797,51.18465629733811,52.08646657242167,716.5,18.827044368756976,135.7401153701778,0.18944887002118324,717.0,0.6990444876327632
0fab8097f55f21d4bfa7667250122312_L_CC.nii.gz,0.29725967455323166,81.83309651751449,83.21658488546619,1472.5,24.325679638479553,219.68124086713243,0.14918929770263661,1473.0,0.6192123515713821
014d843f13a9d86fec945664e2541fe6_R_CC.nii.gz,0.40412116916472374,33.622039971045346,34.52535300326414,356.5,13.587378102801917,86.76955262170048,0.24339285447882325,357.0,0.7713781640868395
02c9621d5af7d0485e20c071f605678c_R_CC.nii.gz,0.40290517021778377,24.557329935221702,23.769728648009426,186.5,9.894275197644777,59.7989898732233,0.32063801540602305,187.0,0.809562722351587
07a0dbae70b94afb01313eeeeaaef9ac_R_CC.nii.gz,0.3317417959137087,48.14531332994591,47.265209192385896,595.5,15.971812708904478,113.11269837220816,0.18994575713217154,596.0,0.7647763548078217
0910d9262da2398810b2f2bc32b77088_L_CC.nii.gz,0.5264687284522356,49.34106994046686,49.16299421312742,999.0,25.976530352030412,139.39696961967022,0.13953650612579602,1000.0,0.8037747212296321
0928a31ce88182b08f89a6aa72354037_L_CC.nii.gz,0.6512878601870564,24.91275125049255,25.96150997149434,314.5,16.225372453305706,72.87005768508877,0.23170129629598973,315.0,0.862712605136538
1e2b0ce2c5a93c643834c98803e6ac2d_L_CC.nii.gz,0.17330698042525977,134.94022720949656,94.02127418834527,636.0,23.386083315576325,154.8111831820433,0.24341381003465926,637.0,0.5774723040047328
1fe77db1e47d9133c2bc799fc2e3c4ba_L_CC.nii.gz,0.4259806382739682,49.405486476771536,47.07440918375928,807.5,21.045780663611044,122.76955262170057,0.1520365976739326,808.0,0.8205131095080382
2b48f13688211af161ca5880d9fcaec3_R_CC.nii.gz,0.5101794270559816,78.34047290325272,82.76472678623425,2383.5,39.96769758107613,229.09545442950548,0.09611724540780595,2384.0,0.7554331486136339
2c90542f6f10926cde501ebd8de7c3c3_R_CC.nii.gz,0.4148254996037057,22.560085660603153,23.08679276123039,163.5,9.3584988052621,58.28427124746186,0.35647872322606644,164.0,0.7777006104180645
2cae5c9d4a922766fd01dd69a004ea5c_L_CC.nii.gz,0.6654807366937603,53.15587279893629,52.839379254491625,1449.5,35.37420938983594,153.43860018001294,0.10585622640911552,1450.0,0.8795882396400801
2df4404b9c286ec49851d4261faec924_R_CC.nii.gz,0.5880106023515124,18.377846683904586,18.027756377319946,151.5,10.806368698526478,51.55634918610403,0.3403059352218088,152.0,0.8463092584016023
2e1f57baf6e3e742404c401b0999cadb_R_CC.nii.gz,0.44409200265965704,83.07516023176689,83.81527307120105,2299.5,36.89301427859725,223.6812408671324,0.09727385991177752,2300.0,0.7599623475960217
2fe156e5ce59814559b0a9f01de006df_L_CC.nii.gz,0.4908714061485331,93.93771154666717,100.2845950283492,3322.5,46.11133655728781,272.3502884254449,0.0819714938827524,3323.0,0.7502561900276329
3b9d3e9aa2fcdefd74d4cbfb496694b4_R_CC.nii.gz,0.5518011973491759,59.84020691362683,60.67124524847005,1521.5,33.01989782456172,162.12489168102815,0.10655595904109638,1522.0,0.8528864435129491
4e6f6c5e70433a176643f635747a328d_L_CC.nii.gz,0.3327459203782478,28.204424252950485,29.068883707497267,205.5,9.384907106786583,70.62741699796948,0.34368572748403636,206.0,0.7195111388430016
4fc011ee4b49040648fdd2d3dcf883c3_R_CC.nii.gz,0.38686129260275454,33.07139793227067,30.265491900843113,302.5,12.794043752258295,85.0121933088198,0.28103204399609855,303.0,0.7252477671809542
5babce4b963ba18124477ce11d284ac6_L_CC.nii.gz,0.2968202217295839,127.7467746065424,84.86459803710851,1001.0,37.91782596395309,199.0954544295054,0.19889655787163377,1002.0,0.5633270762309538
5f97a8ee0bc7b1ffb941035bc5291db8_L_CC.nii.gz,0.49980318266926027,135.38349479275684,147.52626884728022,6926.5,67.66510157830709,421.8061325481609,0.06089744207726282,6927.0,0.69943757833935
5fb086552ff0566a7ba0fba65d5c4823_L_CC.nii.gz,0.3370119033827233,142.62464282027167,123.22743201089601,1845.0,48.06620234614082,261.9238815542517,0.14196416344403887,1846.0,0.5813370723491785
6adbb464cba25c728e2d6c29ee9ee1bc_L_CC.nii.gz,0.4712653661428428,42.36874307261773,43.01162633521314,660.5,19.96692121712923,109.15432893255084,0.16526014978433132,661.0,0.8346422766337387
6d75446a6406fc669f3464543b8f7893_L_CC.nii.gz,0.30995997409983345,78.47832715053488,80.50465825031493,1432.5,24.325140250978045,204.26702730475938,0.14259478345881982,1433.0,0.6568315096457717
7bb82359496060cc5af7fd939e760ff5_L_CC.nii.gz,0.6135383280240835,12.979314110793393,13.341664064126334,80.5,7.963306678435573,35.556349186104036,0.44169377870936694,81.0,0.8945110495249815
7c49a0d284532fa3e537ac87991c9608_L_CC.nii.gz,0.4200349619714371,23.428046558256412,24.08318915758459,176.5,9.84059864516229,60.041630560342576,0.34017920997361234,177.0,0.7843769248871433
7f0eb50793a773fb4bddaeff7e3c7c14_L_CC.nii.gz,0.5527639803415553,35.53548408793216,35.510561809129406,519.5,19.642735627809383,100.32590180780463,0.19312011897556233,520.0,0.8053499494424777
8dd986e8174fc84c2a984e66a416ff9f_R_CC.nii.gz,0.40094724309784696,122.51443454245013,118.37651794169315,4467.5,49.12182476948701,314.0071426749373,0.07028699332399269,4468.0,0.7545667873374726
8e30fe5fbe424206c9f57ce26f80f6c2_R_CC.nii.gz,0.507235806055492,49.34564557609409,50.00999900019995,965.5,25.029878309118715,128.08326112068536,0.132660032232714,966.0,0.8599806796267334
8f447c29a7aa0c5aa2b8e8a852b01560_L_CC.nii.gz,0.5360895010192511,26.29590004180542,26.476404589747453,289.5,14.096955932263574,69.45584412271567,0.23991656000938058,290.0,0.8684012146092649
9a6f70ccba8034a3d658f88677e4b553_L_CC.nii.gz,0.3753058882152297,37.4907627082634,37.656340767525464,409.5,14.070503998091205,90.76955262170051,0.22165946916166182,410.0,0.7902994689804066
9bb21300e3a92937024437cacc180158_R_CC.nii.gz,0.3631901495048704,75.63296890015089,75.0066663703967,1521.0,27.469149282343015,234.30865786510202,0.15404908472393294,1522.0,0.5900396580745446
9fe8e9aef78ad365197d8f6ee0fdb932_R_CC.nii.gz,0.4349245615762949,63.07309168258446,61.29437168288782,1330.5,27.432036747309496,157.98275605729714,0.1187393882429892,1331.0,0.8184698492019185
21fddc967eb5a31695a60d4bb075df7a_R_CC.nii.gz,0.3936717030114841,23.797931560642226,23.345235059857504,170.5,9.368572245628771,58.970562748477114,0.34586840321687456,171.0,0.7849316688161131
27d4dc70d6f73554e4ead70f01867167_R_CC.nii.gz,0.395897469743527,50.11252608538098,51.088159097779204,767.5,19.839422279658823,125.25483399593918,0.16319848077646798,768.0,0.7840605960151582
27de4919323355abc9dc92603fdb5df2_L_CC.nii.gz,0.7911137228117177,10.870039647649227,11.40175425099138,72.5,8.599437532762753,33.556349186104036,0.4628461956704005,73.0,0.8994959873448779
46ab23ec866810a4212c33db471153a2_R_CC.nii.gz,0.511825482743868,50.68440952742465,49.47726750741192,1020.5,25.94157237396202,132.9116882454316,0.13024173272457776,1021.0,0.8520170037379144
55d4e23fef777c307e27b9661c0da578_L_CC.nii.gz,0.37055775575336525,90.70397832188236,86.20904824900923,2366.5,33.61106264485862,214.81118318204346,0.09077168104037332,2367.0,0.8027887895439887
65b8c8d3af382a51b3c8465be1f6f06e_L_CC.nii.gz,0.5268232063441207,46.886809973434715,47.095647357266465,892.5,24.701059565452375,126.08326112068542,0.1412697603593114,893.0,0.839946473708081
